Site URL,Publisher Email,DA,DR,Traffic,SS,Category,Country,Language,TAT,Base Price,Status
https://techcrunch.com,editor@techcrunch.com,95,94,15000000,2,TECHNOLOGY_GADGETS,US,en,2-3 days,500,ACTIVE
https://forbes.com/business,business@forbes.com,92,93,12000000,1,BUSINESS_ENTREPRENEURSHIP,US,en,3-5 days,450,ACTIVE
https://entrepreneur.com,editor@entrepreneur.com,88,87,8500000,3,BUSINESS_ENTREPRENEURSHIP,US,en,1-2 days,400,ACTIVE
https://mashable.com,tech@mashable.com,85,86,7200000,2,TECHNOLOGY_GADGETS,US,en,2-4 days,350,ACTIVE
https://businessinsider.com,editor@businessinsider.com,90,89,9800000,1,BUSINESS_ENTREPRENEURSHIP,US,en,3-4 days,425,ACTIVE
https://healthline.com,editorial@healthline.com,82,83,6500000,1,HEALTH_FITNESS,US,en,5-7 days,300,ACTIVE
https://webmd.com,health@webmd.com,80,81,5800000,2,HEALTH_FITNESS,US,en,4-6 days,275,ACTIVE
https://mayoclinic.org,editorial@mayoclinic.org,85,84,4200000,1,HEALTH_FITNESS,US,en,7-10 days,350,ACTIVE
https://investopedia.com,finance@investopedia.com,88,87,3800000,1,FINANCE_INVESTMENT,US,en,3-5 days,375,ACTIVE
https://nerdwallet.com,team@nerdwallet.com,82,83,3200000,2,FINANCE_INVESTMENT,US,en,2-4 days,325,ACTIVE
https://fool.com,editorial@fool.com,79,80,2800000,3,FINANCE_INVESTMENT,US,en,4-6 days,300,ACTIVE
https://cnn.com/travel,travel@cnn.com,87,88,8900000,2,TRAVEL_TOURISM,US,en,3-5 days,400,ACTIVE
https://lonelyplanet.com,editorial@lonelyplanet.com,83,82,2100000,1,TRAVEL_TOURISM,UK,en,5-7 days,275,ACTIVE
https://tripadvisor.com,content@tripadvisor.com,86,85,4500000,2,TRAVEL_TOURISM,US,en,2-3 days,350,ACTIVE
https://foodnetwork.com,editor@foodnetwork.com,81,80,3600000,1,FOOD_NUTRITION,US,en,4-6 days,250,ACTIVE
https://allrecipes.com,editorial@allrecipes.com,78,79,2900000,2,FOOD_NUTRITION,US,en,3-5 days,225,ACTIVE
https://bonappetit.com,editor@bonappetit.com,76,77,1800000,1,FOOD_NUTRITION,US,en,5-7 days,275,ACTIVE
